Country Name,Country Code,Numeric,Indicator Name,2018
Afghanistan,AFG,4,Prevalence of moderate or severe food insecurity in the population (%),57.6
Angola,AGO,24,Prevalence of moderate or severe food insecurity in the population (%),70.1
Albania,ALB,8,Prevalence of moderate or severe food insecurity in the population (%),37.1
Argentina,ARG,32,Prevalence of moderate or severe food insecurity in the population (%),35.8
Armenia,ARM,51,Prevalence of moderate or severe food insecurity in the population (%),14.8
Australia,AUS,36,Prevalence of moderate or severe food insecurity in the population (%),13.3
Austria,AUT,40,Prevalence of moderate or severe food insecurity in the population (%),3.6
Azerbaijan,AZE,31,Prevalence of moderate or severe food insecurity in the population (%),9.6
Benin,BEN,204,Prevalence of moderate or severe food insecurity in the population (%),65.6
Burkina Faso,BFA,854,Prevalence of moderate or severe food insecurity in the population (%),42.8
Bangladesh,BGD,50,Prevalence of moderate or severe food insecurity in the population (%),31.5
Bulgaria,BGR,100,Prevalence of moderate or severe food insecurity in the population (%),12.5
Bosnia and Herzegovina,BIH,70,Prevalence of moderate or severe food insecurity in the population (%),9.2
Belize,BLZ,84,Prevalence of moderate or severe food insecurity in the population (%),35.7
Brazil,BRA,76,Prevalence of moderate or severe food insecurity in the population (%),20.6
Botswana,BWA,72,Prevalence of moderate or severe food insecurity in the population (%),53.1
Canada,CAN,124,Prevalence of moderate or severe food insecurity in the population (%),5.1
Switzerland,CHE,756,Prevalence of moderate or severe food insecurity in the population (%),2.6
Chile,CHL,152,Prevalence of moderate or severe food insecurity in the population (%),15.3
Cote d'Ivoire,CIV,384,Prevalence of moderate or severe food insecurity in the population (%),38.6
Cameroon,CMR,120,Prevalence of moderate or severe food insecurity in the population (%),57
"Congo, Rep.",COG,178,Prevalence of moderate or severe food insecurity in the population (%),88.2
Cabo Verde,CPV,132,Prevalence of moderate or severe food insecurity in the population (%),36.4
Costa Rica,CRI,188,Prevalence of moderate or severe food insecurity in the population (%),14.5
Czechia,CZE,203,Prevalence of moderate or severe food insecurity in the population (%),3.8
Germany,DEU,276,Prevalence of moderate or severe food insecurity in the population (%),3.5
Denmark,DNK,208,Prevalence of moderate or severe food insecurity in the population (%),5.2
Dominican Republic,DOM,214,Prevalence of moderate or severe food insecurity in the population (%),52.6
Algeria,DZA,12,Prevalence of moderate or severe food insecurity in the population (%),17.6
East Asia & Pacific (excluding high income),EAP,,Prevalence of moderate or severe food insecurity in the population (%),12.6
East Asia & Pacific,EAS,,Prevalence of moderate or severe food insecurity in the population (%),11.8
Europe & Central Asia (excluding high income),ECA,,Prevalence of moderate or severe food insecurity in the population (%),14.8
Europe & Central Asia,ECS,,Prevalence of moderate or severe food insecurity in the population (%),9.9
Ecuador,ECU,218,Prevalence of moderate or severe food insecurity in the population (%),29.3
"Egypt, Arab Rep.",EGY,818,Prevalence of moderate or severe food insecurity in the population (%),31.2
Spain,ESP,724,Prevalence of moderate or severe food insecurity in the population (%),8.6
Estonia,EST,233,Prevalence of moderate or severe food insecurity in the population (%),7.4
Ethiopia,ETH,231,Prevalence of moderate or severe food insecurity in the population (%),57.9
Finland,FIN,246,Prevalence of moderate or severe food insecurity in the population (%),7.7
France,FRA,250,Prevalence of moderate or severe food insecurity in the population (%),6
United Kingdom,GBR,826,Prevalence of moderate or severe food insecurity in the population (%),4.9
Georgia,GEO,268,Prevalence of moderate or severe food insecurity in the population (%),38.3
Ghana,GHA,288,Prevalence of moderate or severe food insecurity in the population (%),39.5
Guinea,GIN,324,Prevalence of moderate or severe food insecurity in the population (%),74.1
"Gambia, The",GMB,270,Prevalence of moderate or severe food insecurity in the population (%),54.3
Guinea-Bissau,GNB,624,Prevalence of moderate or severe food insecurity in the population (%),64.4
Greece,GRC,300,Prevalence of moderate or severe food insecurity in the population (%),13.3
Grenada,GRD,308,Prevalence of moderate or severe food insecurity in the population (%),23.6
Guatemala,GTM,320,Prevalence of moderate or severe food insecurity in the population (%),45.2
High income,HIC,,Prevalence of moderate or severe food insecurity in the population (%),7.7
Honduras,HND,340,Prevalence of moderate or severe food insecurity in the population (%),40.9
Croatia,HRV,191,Prevalence of moderate or severe food insecurity in the population (%),10
